"year","mean_density","upper_cl","lower_cl"
2018,18.8312797081983,22.4616418947972,15.7876746993523
2019,23.9123294516927,28.0364128987642,20.3948879577063
2020,20.027242160775,23.8974439360569,16.783821300702
2021,18.9977594097487,22.8957321527412,15.7634121583434
2022,14.504892511761,17.3105985546969,12.1539359897325
2023,13.2597210361813,16.0934806011733,10.9249332891065
