"","Date","Time","Buck","MarkedDoe","UnmarkedDoe","Doe_UnknownifMarked","Fawn","UnknownSex","Unknown_UnknownifMarked","UnknownAgeGroup","Comments","TotalAdult","TotalFawn","Location","ICDoe_2019","ControlCollar_Colour","ControlCollar_Tag","ICCollar_Colour","EarTagNumber_2019","EarTagNumber_2020","EarTagColour_2019","EarTagColour2020","ICDoe_2020","Multi_Marked_Comments","TotalMarked","WHID_all","df_year","datetime","year","SiteID"
"27","09-Oct-19","8:59:09",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-09 08:59:09,2009,"Site03"
"28","09-Oct-19","9:58:17",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-09 09:58:17,2009,"Site03"
"29","09-Oct-19","9:58:18",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-09 09:58:18,2009,"Site03"
"30","09-Oct-19","9:58:19",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-09 09:58:19,2009,"Site03"
"31","09-Oct-19","10:00:28",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-09 10:00:28,2009,"Site03"
"32","09-Oct-19","10:00:29",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-09 10:00:29,2009,"Site03"
"33","09-Oct-19","10:00:30",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-09 10:00:30,2009,"Site03"
"34","09-Oct-19","15:05:50",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-09 15:05:50,2009,"Site03"
"35","09-Oct-19","15:05:50",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-09 15:05:50,2009,"Site03"
"36","09-Oct-19","15:05:51",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-09 15:05:51,2009,"Site03"
"37","09-Oct-19","15:27:24",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-09 15:27:24,2009,"Site03"
"38","09-Oct-19","15:27:25",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-09 15:27:25,2009,"Site03"
"39","09-Oct-19","15:27:26",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-09 15:27:26,2009,"Site03"
"40","10-Oct-19","0:56:50",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-10 00:56:50,2010,"Site03"
"41","10-Oct-19","0:56:51",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-10 00:56:51,2010,"Site03"
"42","10-Oct-19","0:56:52",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-10 00:56:52,2010,"Site03"
"43","10-Oct-19","2:42:32",1,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-10 02:42:32,2010,"Site03"
"44","10-Oct-19","2:42:33",1,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-10 02:42:33,2010,"Site03"
"45","10-Oct-19","2:42:34",1,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-10 02:42:34,2010,"Site03"
"46","10-Oct-19","2:42:44",1,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-10 02:42:44,2010,"Site03"
"47","10-Oct-19","2:42:45",1,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-10 02:42:45,2010,"Site03"
"48","10-Oct-19","2:42:46",1,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-10 02:42:46,2010,"Site03"
"49","10-Oct-19","2:42:56",1,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-10 02:42:56,2010,"Site03"
