session	deer_id	occasion	trap.id
test	11	13	200
test	94	18	200
test	94	1	201
test	94	1	201
test	162	1	201
test	94	2	201
test	94	4	201
test	21	4	201
test	162	5	201
test	162	5	201
test	94	6	201
test	162	6	201
test	161	7	201
test	162	8	201
test	21	9	201
test	162	11	201
test	21	11	201
test	94	13	201
test	94	16	201
test	94	16	201
test	162	17	201
test	21	18	201
test	94	19	201
test	94	19	201
test	94	20	201
test	162	21	201
test	162	21	201
test	94	24	201
test	94	28	201
test	94	30	201
test	94	30	201
test	161	1	202
test	161	1	202
test	161	3	202
test	93	3	202
test	161	4	202
test	161	5	202
test	161	7	202
test	161	7	202
test	161	9	202
test	93	10	202
test	161	10	202
test	162	13	202
test	161	14	202
test	162	15	202
test	162	15	202
test	93	16	202
test	161	16	202
test	161	18	202
test	161	19	202
test	161	20	202
test	161	22	202
test	161	24	202
test	161	24	202
test	161	24	202
test	161	25	202
test	161	28	202
test	161	29	202
test	93	29	202
test	161	30	202
test	161	30	202
test	161	30	202
test	39	1	203
test	39	3	203
test	39	7	203
test	39	8	203
test	39	8	203
test	39	19	203
test	39	19	203
test	39	19	203
test	39	24	203
test	39	27	203
test	77	12	204
test	39	15	204
test	39	15	204
test	39	27	204
test	39	27	204
test	77	27	204
test	187	27	204
test	77	28	204
test	77	1	205
test	77	9	205
test	77	10	205
test	77	11	205
test	77	12	205
test	77	19	205
test	77	20	205
test	77	25	205
test	77	26	205
test	77	30	205
test	77	30	205
test	100	2	206
test	100	5	206
test	100	7	206
test	100	10	206
test	100	14	206
test	100	17	206
test	100	18	206
test	100	4	207
test	100	4	207
test	132	9	207
test	132	9	207
test	100	11	207
test	100	11	207
test	100	12	207
test	100	12	207
test	132	13	207
test	100	22	207
test	132	29	207
test	132	29	207
test	132	29	207
test	147	19	208
test	147	30	208
test	131	9	209
test	194	6	210
test	149	13	210
test	194	22	210
test	128	5	211
test	149	12	211
test	111	16	211
test	111	16	211
test	149	27	211
test	183	15	212
test	150	17	212
test	150	25	212
test	183	27	212
test	2	5	213
test	49	3	215
test	48	8	215
test	48	8	215
test	124	1	216
test	124	3	216
test	124	8	216
test	124	9	216
test	124	10	216
test	124	10	216
test	129	10	216
test	124	12	216
test	124	13	216
test	124	16	216
test	124	21	216
test	124	22	216
test	124	25	216
test	124	26	216
test	124	27	216
test	42	27	216
test	124	29	216
test	165	1	217
test	165	1	217
test	165	2	217
test	165	3	217
test	165	3	217
test	165	3	217
test	165	4	217
test	165	4	217
test	165	4	217
test	165	5	217
test	165	7	217
test	165	7	217
test	165	8	217
test	165	8	217
test	165	9	217
test	165	9	217
test	165	11	217
test	165	12	217
test	165	13	217
test	165	13	217
test	165	15	217
test	165	15	217
test	165	15	217
test	99	15	217
test	99	16	217
test	165	16	217
test	165	17	217
test	165	18	217
test	99	18	217
test	165	19	217
test	165	20	217
test	165	20	217
test	165	21	217
test	165	22	217
test	165	23	217
test	165	25	217
test	124	25	217
test	124	25	217
test	165	25	217
test	99	26	217
test	165	27	217
test	129	27	217
test	165	28	217
test	165	28	217
test	165	29	217
test	165	30	217
test	165	30	217
test	3	7	218
test	3	7	218
test	192	7	218
test	3	7	218
test	3	7	218
test	3	19	218
test	184	20	218
test	184	20	218
test	179	3	219
test	25	12	219
test	25	14	219
test	25	14	219
test	25	15	219
test	25	21	219
test	25	21	219
test	25	23	219
test	25	28	219
test	25	30	219
test	179	1	220
test	179	11	220
test	19	1	221
test	108	5	221
test	108	7	221
test	19	8	221
test	108	18	221
test	108	24	221
test	74	26	221
test	108	30	221
test	74	2	222
test	61	4	222
test	74	5	222
test	74	5	222
test	61	7	222
test	61	9	222
test	19	10	222
test	61	10	222
test	74	10	222
test	61	11	222
test	74	11	222
test	74	14	222
test	61	15	222
test	118	17	222
test	74	18	222
test	74	18	222
test	61	18	222
test	61	18	222
test	61	18	222
test	74	19	222
test	74	19	222
test	19	22	222
test	74	23	222
test	61	23	222
test	61	24	222
test	19	24	222
test	61	26	222
test	118	27	222
test	74	27	222
test	19	28	222
test	61	30	222
test	118	4	223
test	118	10	223
test	118	10	223
test	118	10	223
test	118	11	223
test	118	18	223
test	121	20	223
test	121	21	223
test	106	6	225
test	106	6	225
test	106	15	225
test	106	26	226
test	82	2	227
test	103	6	227
test	82	15	227
test	103	18	227
test	82	26	227
test	103	28	227
test	193	23	229
test	193	23	229
test	16	2	230
test	130	7	230
test	130	8	230
test	16	9	230
test	16	12	230
test	16	20	230
test	16	20	230
test	16	24	230
test	16	26	230
test	130	10	231
test	130	15	231
test	130	17	231
test	50	24	231
test	130	30	231
test	57	25	232
test	136	16	233
test	136	22	233
test	119	1	234
test	119	3	234
test	81	3	234
test	119	4	234
test	119	5	234
test	119	6	234
test	178	9	234
test	119	9	234
test	119	12	234
test	119	17	234
test	119	20	234
test	119	22	234
test	119	25	234
test	119	27	234
test	81	28	234
test	119	29	234
test	119	29	234
test	119	8	235
test	81	10	235
