session	deer_id	occasion	trap.id
test	121	1	360
test	121	4	360
test	121	4	360
test	121	5	360
test	121	5	360
test	121	6	360
test	121	7	360
test	121	9	360
test	4	14	360
test	121	14	360
test	121	14	360
test	121	15	360
test	236	15	360
test	121	17	360
test	121	18	360
test	121	18	360
test	121	19	360
test	121	20	360
test	121	21	360
test	121	21	360
test	121	22	360
test	121	22	360
test	4	22	360
test	121	23	360
test	121	24	360
test	121	24	360
test	121	25	360
test	121	26	360
test	4	26	360
test	121	27	360
test	121	27	360
test	121	28	360
test	121	29	360
test	236	30	360
test	236	30	360
test	4	30	360
test	64	1	361
test	64	5	361
test	64	6	361
test	64	7	361
test	202	8	361
test	202	8	361
test	64	10	361
test	236	10	361
test	202	12	361
test	236	13	361
test	202	16	361
test	202	19	361
test	64	23	361
test	202	26	361
test	75	2	362
test	75	5	362
test	64	7	362
test	183	8	362
test	321	9	362
test	194	9	362
test	194	9	362
test	183	10	362
test	75	10	362
test	75	11	362
test	183	11	362
test	183	11	362
test	183	11	362
test	75	11	362
test	75	12	362
test	75	13	362
test	183	14	362
test	75	16	362
test	75	16	362
test	183	17	362
test	75	17	362
test	75	17	362
test	183	18	362
test	183	18	362
test	183	18	362
test	75	19	362
test	75	19	362
test	183	22	362
test	75	23	362
test	75	23	362
test	183	23	362
test	183	23	362
test	75	24	362
test	183	24	362
test	183	25	362
test	153	25	362
test	183	25	362
test	75	25	362
test	153	26	362
test	75	28	362
test	75	29	362
test	183	29	362
test	75	30	362
test	75	30	362
test	79	1	363
test	79	4	363
test	79	4	363
test	342	5	363
test	79	5	363
test	79	5	363
test	342	6	363
test	342	13	363
test	342	15	363
test	79	17	363
test	295	19	363
test	79	22	363
test	194	23	363
test	79	24	363
test	342	28	363
test	132	1	364
test	291	1	364
test	132	1	364
test	79	2	364
test	291	2	364
test	291	2	364
test	132	2	364
test	132	3	364
test	132	3	364
test	132	3	364
test	132	4	364
test	79	5	364
test	281	5	364
test	132	6	364
test	132	7	364
test	291	7	364
test	132	8	364
test	132	8	364
test	132	11	364
test	342	12	364
test	79	12	364
test	132	12	364
test	132	12	364
test	132	13	364
test	132	15	364
test	132	15	364
test	132	15	364
test	132	17	364
test	132	17	364
test	132	18	364
test	132	19	364
test	132	19	364
test	132	19	364
test	132	21	364
test	27	21	364
test	291	22	364
test	291	22	364
test	132	23	364
test	132	26	364
test	291	29	364
test	342	29	364
test	132	30	364
test	132	30	364
test	132	30	364
test	132	30	364
test	132	30	364
test	27	4	365
test	27	14	365
test	132	17	365
test	27	22	365
test	27	28	365
test	228	4	366
test	228	4	366
test	327	10	366
test	228	22	366
test	327	28	366
test	169	3	367
test	169	5	367
test	228	11	367
test	169	17	367
test	228	20	367
test	228	21	367
test	169	24	367
test	169	24	367
test	169	25	367
test	169	25	367
test	169	25	367
test	228	26	367
test	228	26	367
test	228	29	367
test	104	29	367
test	99	5	368
test	99	5	368
test	99	18	368
test	99	23	368
test	235	1	369
test	235	3	369
test	99	3	369
test	235	4	369
test	99	9	369
test	235	14	369
test	99	15	369
test	235	16	369
test	235	20	369
test	99	25	369
test	235	25	369
test	6	26	369
test	99	30	369
test	201	1	370
test	6	1	370
