session	deer_id	occasion	trap.id
test	72	7	200
test	72	9	200
test	72	10	200
test	73	1	201
test	182	1	201
test	182	2	201
test	156	2	201
test	156	2	201
test	156	3	201
test	156	3	201
test	73	7	201
test	156	9	201
test	182	11	201
test	156	12	201
test	156	12	201
test	182	12	201
test	156	12	201
test	156	14	201
test	156	15	201
test	72	16	201
test	156	19	201
test	156	22	201
test	156	23	201
test	156	25	201
test	156	26	201
test	73	27	201
test	156	27	201
test	156	27	201
test	156	28	201
test	156	28	201
test	72	29	201
test	156	29	201
test	156	30	201
test	156	30	201
test	11	1	202
test	11	1	202
test	11	1	202
test	11	2	202
test	73	2	202
test	73	2	202
test	11	2	202
test	11	5	202
test	11	7	202
test	73	9	202
test	73	10	202
test	11	12	202
test	73	15	202
test	11	16	202
test	73	17	202
test	40	17	202
test	11	18	202
test	40	21	202
test	182	23	202
test	11	24	202
test	73	24	202
test	73	24	202
test	11	24	202
test	40	26	202
test	11	27	202
test	11	28	202
test	40	28	202
test	108	1	203
test	40	2	203
test	108	9	203
test	132	10	203
test	108	10	203
test	108	12	203
test	108	13	203
test	108	14	203
test	108	15	203
test	108	15	203
test	108	16	203
test	108	17	203
test	119	18	203
test	108	22	203
test	108	22	203
test	108	23	203
test	108	26	203
test	108	26	203
test	108	26	203
test	108	27	203
test	108	28	203
test	108	28	203
test	71	30	203
test	108	30	203
test	119	1	204
test	119	2	204
test	119	2	204
test	132	2	204
test	119	2	204
test	132	2	204
test	132	3	204
test	71	3	204
test	119	5	204
test	128	5	204
test	128	6	204
test	119	8	204
test	119	9	204
test	128	11	204
test	119	11	204
test	119	13	204
test	71	15	204
test	128	18	204
test	119	19	204
test	71	19	204
test	119	19	204
test	128	22	204
test	71	22	204
test	132	26	204
test	132	27	204
test	128	27	204
test	119	28	204
test	119	29	204
test	119	29	204
test	67	4	205
test	67	4	205
test	67	24	205
test	180	27	205
test	179	3	206
test	13	5	206
test	179	7	206
test	185	7	206
test	185	7	206
test	179	11	206
test	185	14	206
test	185	14	206
test	13	15	206
test	179	17	206
test	179	22	206
test	185	23	206
test	13	28	206
test	18	12	207
test	18	15	207
test	18	15	207
test	18	24	207
test	18	24	207
test	18	29	207
test	18	30	207
test	18	30	207
test	174	1	208
test	174	1	208
test	174	1	208
test	18	3	208
test	174	7	208
test	174	7	208
test	174	7	208
test	174	12	208
test	174	12	208
test	18	12	208
test	174	17	208
test	174	17	208
test	174	18	208
test	18	19	208
test	146	21	208
test	174	26	208
test	174	27	208
test	174	29	208
test	174	30	208
test	174	30	208
test	15	11	209
test	15	12	209
test	15	14	209
test	174	19	209
test	15	21	209
test	15	29	209
test	15	29	209
test	15	30	209
test	24	1	210
test	24	1	210
test	15	5	210
test	24	6	210
test	15	7	210
test	24	9	210
test	15	21	210
test	24	25	210
test	24	24	211
test	59	27	211
test	195	2	212
test	109	12	212
test	141	13	212
test	195	14	212
test	160	18	212
test	109	18	212
test	109	18	212
test	141	24	212
test	160	26	212
test	160	30	212
test	115	2	213
test	115	11	213
test	115	11	213
test	109	11	213
test	115	13	213
test	115	14	213
test	115	15	213
test	141	16	213
test	141	16	213
test	115	21	213
test	115	22	213
test	141	26	213
test	141	29	213
test	167	2	214
test	167	9	214
test	167	9	214
test	167	9	214
test	167	15	214
test	171	19	214
test	167	20	214
test	62	2	215
test	62	2	215
test	62	2	215
test	62	3	215
test	62	3	215
test	62	4	215
test	62	7	215
test	62	10	215
test	62	10	215
test	62	12	215
test	62	13	215
test	62	14	215
test	62	16	215
test	62	18	215
test	62	19	215
test	62	21	215
test	62	21	215
test	62	21	215
test	62	23	215
test	62	23	215
test	62	23	215
test	62	26	215
test	62	27	215
test	62	28	215
test	62	28	215
test	62	29	215
test	62	29	215
test	62	30	215
test	62	30	215
test	53	1	217
test	53	2	217
test	53	4	217
test	53	6	217
test	53	8	217
test	53	9	217
test	53	11	217
test	53	12	217
test	53	12	217
test	53	15	217
test	53	18	217
test	53	21	217
test	53	22	217
test	53	22	217
test	53	23	217
test	53	25	217
test	53	27	217
test	53	30	217
test	192	1	219
test	26	1	219
test	26	6	219
test	192	10	219
test	192	10	219
test	26	3	220
test	26	4	220
test	192	7	220
test	26	22	220
test	192	30	220
test	165	1	221
test	165	11	221
test	61	17	221
test	147	1	222
test	147	1	222
test	147	2	222
test	147	3	222
test	147	5	222
test	147	5	222
test	147	6	222
test	147	6	222
test	147	6	222
test	61	7	222
test	147	7	222
test	147	8	222
test	147	8	222
test	147	9	222
test	147	9	222
test	61	10	222
test	147	11	222
test	147	11	222
test	147	12	222
test	61	13	222
test	147	15	222
test	147	16	222
test	61	16	222
test	147	16	222
test	147	16	222
test	147	17	222
test	147	19	222
test	61	19	222
test	147	20	222
test	61	20	222
test	147	22	222
test	147	22	222
test	147	24	222
test	147	24	222
test	61	25	222
test	147	26	222
test	147	28	222
test	147	28	222
test	147	28	222
test	147	29	222
test	147	29	222
test	61	30	222
test	61	30	222
test	147	30	222
test	147	30	222
test	54	8	223
test	54	9	223
test	54	28	223
test	183	1	225
test	114	1	225
test	114	1	225
test	114	2	225
test	114	2	225
test	114	6	225
test	114	8	225
test	114	8	225
test	114	9	225
test	114	10	225
test	114	14	225
test	114	17	225
test	114	17	225
test	114	19	225
test	114	23	225
test	114	25	225
test	114	25	225
test	188	1	226
test	144	2	226
test	188	2	226
test	188	2	226
test	188	3	226
test	188	3	226
test	188	4	226
test	188	4	226
test	188	4	226
test	144	4	226
test	188	6	226
test	188	6	226
test	144	7	226
test	188	8	226
test	188	9	226
test	188	9	226
test	183	9	226
test	144	10	226
test	188	12	226
test	183	13	226
test	183	13	226
test	188	15	226
test	114	15	226
test	144	17	226
test	183	18	226
test	188	21	226
test	188	21	226
test	188	23	226
test	188	23	226
test	188	24	226
test	144	25	226
test	188	26	226
test	144	26	226
test	188	26	226
test	188	26	226
test	188	27	226
test	188	30	226
test	188	30	226
test	189	17	227
test	144	19	227
test	144	19	227
test	144	24	227
test	144	24	227
test	189	1	228
test	189	1	228
test	189	1	228
test	189	2	228
test	189	3	228
test	189	4	228
test	189	5	228
test	189	6	228
test	189	7	228
test	189	8	228
test	189	8	228
test	189	9	228
test	189	11	228
test	189	15	228
test	189	17	228
test	189	17	228
test	189	17	228
test	189	18	228
test	189	18	228
test	189	20	228
test	189	21	228
test	189	22	228
test	189	22	228
test	189	24	228
test	189	24	228
test	189	28	228
test	170	19	229
test	170	19	229
test	170	24	229
test	151	26	229
test	170	29	229
test	151	29	229
test	36	1	231
test	36	3	231
test	36	3	231
test	36	4	231
test	36	6	231
test	36	11	231
test	36	11	231
test	36	21	231
test	36	21	231
test	36	24	231
test	36	26	231
test	36	28	231
test	36	28	231
test	56	1	232
test	56	11	232
test	56	28	232
test	155	2	233
test	56	10	233
test	94	21	233
test	94	21	233
test	94	24	233
