trap.id	x	y	usage
360	476354	5362177	111111111111111111111111111111
361	476354	5362530	111111111111111111111111111111
362	476354	5362884	111111111111111111111111111111
363	476354	5363237	111111111111111111111111111111
364	476354	5363591	111111111111111111111111111111
365	476354	5363944	111111111111111111111111111111
366	477061	5362177	111111111111111111111111111111
367	477061	5362530	111111111111111111111111111111
368	477061	5362884	111111111111111111111111111111
369	477061	5363237	111111111111111111111111111111
370	477061	5363591	111111111111111111111111111111
371	477061	5363944	111111111111111111111111111111
372	477768	5362177	111111111111111111111111111111
373	477768	5362530	111111111111111111111111111111
374	477768	5362884	111111111111111111111111111111
375	477768	5363237	111111111111111111111111111111
376	477768	5363591	111111111111111111111111111111
377	477768	5363944	111111111111111111111111111111
378	478475	5362177	111111111111111111111111111111
379	478475	5362530	111111111111111111111111111111
380	478475	5362884	111111111111111111111111111111
381	478475	5363237	111111111111111111111111111111
382	478475	5363591	111111111111111111111111111111
383	478475	5363944	111111111111111111111111111111
384	479182	5362177	111111111111111111111111111111
385	479182	5362530	111111111111111111111111111111
386	479182	5362884	111111111111111111111111111111
387	479182	5363237	111111111111111111111111111111
388	479182	5363591	111111111111111111111111111111
389	479182	5363944	111111111111111111111111111111
390	479889	5362177	111111111111111111111111111111
391	479889	5362530	111111111111111111111111111111
392	479889	5362884	111111111111111111111111111111
393	479889	5363237	111111111111111111111111111111
394	479889	5363591	111111111111111111111111111111
395	479889	5363944	111111111111111111111111111111
