session	deer_id	occasion	trap.id
test	18	2	200
test	18	4	200
test	18	11	200
test	18	12	200
test	18	17	200
test	18	21	200
test	164	21	200
test	18	21	200
test	18	25	200
test	18	27	200
test	18	28	200
test	18	29	200
test	18	29	200
test	129	28	201
test	129	28	201
test	145	2	202
test	145	10	202
test	145	10	202
test	145	10	202
test	145	12	202
test	145	12	202
test	145	13	202
test	145	14	202
test	187	17	202
test	145	20	202
test	145	21	202
test	145	23	202
test	187	26	202
test	187	28	202
test	145	29	202
test	42	4	203
test	42	4	203
test	42	10	203
test	187	15	203
test	187	17	203
test	187	17	203
test	110	18	203
test	42	20	203
test	110	23	203
test	42	3	204
test	42	8	204
test	42	8	204
test	42	8	204
test	42	9	204
test	110	9	204
test	110	11	204
test	42	16	204
test	42	16	204
test	42	27	204
test	110	28	204
test	118	11	205
test	82	19	205
test	197	5	206
test	197	5	206
test	197	6	206
test	197	6	206
test	197	7	206
test	197	8	206
test	197	10	206
test	197	11	206
test	197	14	206
test	174	15	206
test	197	15	206
test	197	18	206
test	197	19	206
test	197	21	206
test	197	21	206
test	197	21	206
test	197	22	206
test	197	23	206
test	197	23	206
test	197	24	206
test	197	26	206
test	197	27	206
test	197	27	206
test	174	28	206
test	197	28	206
test	197	28	206
test	197	28	206
test	197	30	206
test	174	30	206
test	197	10	207
test	132	1	209
test	132	13	209
test	132	16	209
test	132	18	209
test	185	1	210
test	156	4	210
test	156	5	210
test	156	6	210
test	185	12	210
test	156	15	210
test	156	15	210
test	185	15	210
test	185	15	210
test	156	20	210
test	156	20	210
test	185	22	210
test	185	23	210
test	156	24	210
test	156	25	210
test	185	28	210
test	185	28	210
test	156	28	210
test	185	29	210
test	156	30	210
test	79	4	211
test	79	5	211
test	79	8	211
test	83	14	211
test	79	17	211
test	185	17	211
test	83	19	211
test	79	26	211
test	79	26	211
test	28	4	212
test	28	18	212
test	43	1	213
test	9	2	213
test	170	4	213
test	170	4	213
test	9	5	213
test	9	5	213
test	9	7	213
test	9	7	213
test	9	9	213
test	9	9	213
test	43	11	213
test	43	11	213
test	43	11	213
test	9	15	213
test	43	16	213
test	43	17	213
test	9	21	213
test	43	21	213
test	43	21	213
test	9	21	213
test	9	28	213
test	9	28	213
test	43	28	213
test	9	29	213
test	43	30	213
test	9	30	213
test	77	2	215
test	70	10	215
test	70	11	215
test	77	30	215
test	77	2	216
test	123	3	216
test	77	4	216
test	77	4	216
test	77	5	216
test	77	5	216
test	77	6	216
test	77	7	216
test	77	8	216
test	77	11	216
test	77	11	216
test	77	12	216
test	77	21	216
test	77	23	216
test	77	27	216
test	77	27	216
test	77	29	216
test	77	29	216
test	77	29	216
test	115	3	217
test	115	8	217
test	31	10	217
test	115	11	217
test	115	15	217
test	115	17	217
test	115	17	217
test	115	20	217
test	115	22	217
test	115	24	217
test	31	24	217
test	115	25	217
test	115	26	217
test	31	28	217
test	95	1	219
test	95	1	219
test	135	1	219
test	95	2	219
test	135	2	219
test	135	2	219
test	95	3	219
test	95	3	219
test	95	4	219
test	95	4	219
test	95	7	219
test	142	7	219
test	95	7	219
test	135	8	219
test	95	8	219
test	95	9	219
test	184	10	219
test	184	10	219
test	95	10	219
test	142	10	219
test	95	11	219
test	95	11	219
test	95	12	219
test	142	14	219
test	95	16	219
test	95	16	219
test	142	16	219
test	95	17	219
test	95	17	219
test	95	19	219
test	142	19	219
test	95	20	219
test	95	21	219
test	95	21	219
test	135	24	219
test	142	26	219
test	95	26	219
test	142	27	219
test	142	27	219
test	95	27	219
test	95	28	219
test	142	29	219
test	95	30	219
test	184	30	219
test	142	1	220
test	138	1	220
test	135	3	220
test	135	4	220
test	142	10	220
test	41	13	220
test	135	16	220
test	138	25	220
test	138	25	220
test	105	4	221
test	138	15	221
test	153	3	222
test	153	24	222
test	153	4	223
test	153	29	223
test	192	29	223
test	153	30	223
test	35	5	224
test	35	14	224
test	35	14	224
test	35	14	224
test	35	18	224
test	35	19	224
test	35	23	224
test	35	27	224
test	35	28	224
test	35	29	224
test	144	1	225
test	144	1	225
test	144	5	225
test	144	6	225
test	144	7	225
test	144	9	225
test	144	9	225
test	144	10	225
test	144	12	225
test	144	12	225
test	144	18	225
test	144	18	225
test	144	19	225
test	144	20	225
test	144	20	225
test	144	21	225
test	144	23	225
test	144	26	225
test	144	27	225
test	144	27	225
test	144	28	225
test	6	15	227
test	180	22	227
test	6	5	228
test	6	7	228
test	6	8	228
test	6	8	228
test	6	12	228
test	6	28	228
test	6	28	228
test	53	3	229
test	101	4	229
test	53	5	229
test	53	7	229
test	53	8	229
test	53	8	229
test	53	9	229
test	53	9	229
test	101	10	229
test	101	15	229
test	101	16	229
test	101	17	229
test	101	17	229
test	53	19	229
test	53	19	229
test	53	19	229
test	53	23	229
test	101	24	229
test	53	25	229
test	53	25	229
test	53	25	229
test	53	26	229
test	101	26	229
test	101	27	229
test	53	28	229
test	53	29	229
test	75	2	230
test	109	5	230
test	75	10	230
test	75	13	230
test	75	15	230
test	75	15	230
test	75	16	230
test	75	17	230
test	75	19	230
test	75	19	230
test	75	24	230
test	75	24	230
test	75	25	230
test	75	29	230
test	3	1	231
test	3	8	231
test	148	10	231
test	30	10	231
test	148	11	231
test	109	16	231
test	3	19	231
test	148	22	231
test	157	23	231
test	157	23	231
test	75	24	231
test	157	24	231
test	3	30	231
test	3	30	231
test	30	8	232
test	30	15	232
