session	deer_id	occasion	trap.id
test	15	18	300
test	188	1	301
test	188	1	301
test	188	15	301
test	209	16	301
test	209	16	301
test	209	22	301
test	197	9	302
test	283	16	303
test	297	18	303
test	297	19	303
test	80	20	303
test	297	22	303
test	297	24	303
test	297	2	304
test	8	5	304
test	8	6	304
test	297	6	304
test	8	9	304
test	8	11	304
test	8	21	304
test	8	21	304
test	8	25	304
test	283	26	304
test	283	29	304
test	8	4	305
test	8	5	305
test	8	12	305
test	8	15	305
test	8	24	305
test	8	28	305
test	124	30	305
test	237	7	306
test	270	9	306
test	237	12	306
test	237	21	306
test	237	25	306
test	97	28	306
test	97	29	306
test	270	10	307
test	270	26	307
test	138	1	308
test	138	6	308
test	138	24	308
test	138	27	308
test	138	11	309
test	276	12	309
test	276	21	309
test	80	23	309
test	110	9	310
test	110	10	310
test	221	10	310
test	110	13	310
test	110	13	310
test	244	14	310
test	244	15	310
test	244	16	310
test	110	17	310
test	244	18	310
test	110	19	310
test	194	23	310
test	244	25	310
test	244	28	310
test	244	28	310
test	279	30	310
test	111	5	311
test	111	6	311
test	221	10	311
test	221	18	311
test	221	24	311
test	110	24	311
test	111	24	311
test	111	27	311
test	111	28	311
test	244	30	311
test	244	30	311
test	221	30	311
test	205	4	313
test	84	5	313
test	84	5	313
test	84	6	313
test	84	17	313
test	84	18	313
test	84	20	313
test	84	21	313
test	84	23	313
test	84	25	313
test	84	25	313
test	205	27	313
test	84	28	313
test	205	28	313
test	84	29	313
test	162	11	314
test	84	23	314
test	253	27	314
test	162	5	315
test	162	13	315
test	100	14	315
test	100	15	315
test	100	17	315
test	100	17	315
test	100	22	315
test	100	28	315
test	100	28	315
test	208	28	316
test	208	29	316
test	208	30	316
test	245	2	317
test	208	6	317
test	245	13	317
test	208	14	317
test	245	19	317
test	245	24	317
test	245	25	317
test	82	12	318
test	82	22	318
test	82	22	318
test	272	22	318
test	272	22	318
test	272	29	318
test	82	11	319
test	82	11	319
test	53	12	319
test	53	12	319
test	53	12	319
test	82	14	319
test	53	22	319
test	82	24	319
test	82	24	319
test	82	24	319
test	53	29	319
test	148	6	320
test	267	7	320
test	267	9	320
test	148	10	320
test	223	16	320
test	267	25	320
test	32	25	320
test	223	30	320
test	223	1	321
test	223	4	321
test	223	6	321
test	223	6	321
test	223	7	321
test	32	9	321
test	32	9	321
test	166	13	321
test	32	19	321
test	32	20	321
test	223	20	321
test	267	28	321
test	267	28	321
test	225	20	322
test	225	24	322
test	66	27	322
test	166	30	322
test	225	1	323
test	211	4	323
test	211	4	323
test	225	4	323
test	201	6	323
test	211	9	323
test	211	10	323
test	211	11	323
test	225	16	323
test	211	24	323
test	211	24	323
test	211	24	323
test	66	26	323
test	211	28	323
test	211	28	323
test	225	28	323
test	225	29	323
test	277	1	324
test	277	1	324
test	277	2	324
test	277	2	324
test	277	3	324
test	72	3	324
test	277	3	324
test	277	4	324
test	277	4	324
test	195	4	324
test	72	4	324
test	277	5	324
test	277	5	324
test	277	5	324
test	254	5	324
test	254	6	324
test	72	6	324
test	277	6	324
test	277	6	324
test	192	6	324
test	277	7	324
test	254	7	324
test	277	7	324
test	277	7	324
test	277	8	324
test	277	8	324
test	277	8	324
test	72	8	324
test	72	9	324
test	277	9	324
test	254	9	324
test	277	10	324
test	254	10	324
test	277	10	324
test	277	11	324
test	277	11	324
test	277	11	324
test	277	11	324
test	277	12	324
test	277	13	324
test	192	14	324
test	277	14	324
test	277	14	324
test	195	14	324
test	277	15	324
test	277	16	324
test	192	16	324
test	277	16	324
test	277	16	324
test	277	17	324
test	135	18	324
test	277	18	324
test	135	18	324
test	254	18	324
test	254	18	324
test	192	19	324
test	277	19	324
test	277	19	324
test	277	20	324
test	195	20	324
test	72	20	324
test	195	20	324
test	277	20	324
test	277	20	324
test	277	21	324
test	192	21	324
test	277	21	324
test	192	21	324
test	277	21	324
test	72	21	324
test	72	21	324
test	277	22	324
test	61	23	324
test	61	23	324
test	277	23	324
test	277	23	324
test	277	24	324
test	277	24	324
test	277	25	324
test	277	25	324
test	72	25	324
test	277	26	324
test	195	26	324
test	192	26	324
test	277	26	324
test	192	27	324
test	254	27	324
test	254	27	324
test	277	29	324
test	192	29	324
test	277	29	324
test	277	29	324
test	277	30	324
test	254	1	325
test	4	2	325
test	4	2	325
test	36	4	325
test	36	5	325
test	4	7	325
test	4	7	325
test	72	7	325
test	4	9	325
test	36	10	325
test	36	10	325
test	36	10	325
test	36	11	325
test	254	11	325
test	254	12	325
test	4	12	325
test	4	12	325
test	4	12	325
test	254	13	325
