session	deer_id	occasion	trap.id
test	172	1	360
test	172	1	360
test	172	1	360
test	172	1	360
test	172	1	360
test	47	1	360
test	47	2	360
test	172	2	360
test	172	2	360
test	172	2	360
test	128	3	360
test	128	3	360
test	172	3	360
test	172	3	360
test	172	4	360
test	172	5	360
test	172	5	360
test	172	5	360
test	197	5	360
test	172	6	360
test	47	6	360
test	47	6	360
test	172	7	360
test	172	7	360
test	172	8	360
test	172	8	360
test	172	9	360
test	172	9	360
test	172	9	360
test	172	10	360
test	172	10	360
test	172	11	360
test	47	11	360
test	172	11	360
test	172	11	360
test	172	12	360
test	172	13	360
test	172	13	360
test	172	15	360
test	172	16	360
test	172	16	360
test	172	16	360
test	172	17	360
test	172	17	360
test	172	17	360
test	172	18	360
test	172	18	360
test	128	18	360
test	47	19	360
test	172	19	360
test	172	19	360
test	172	20	360
test	172	20	360
test	172	21	360
test	172	22	360
test	172	23	360
test	172	24	360
test	172	24	360
test	172	25	360
test	172	25	360
test	172	25	360
test	172	25	360
test	172	25	360
test	172	26	360
test	172	26	360
test	172	27	360
test	172	27	360
test	172	27	360
test	47	28	360
test	128	29	360
test	172	30	360
test	172	30	360
test	197	6	361
test	191	7	361
test	197	10	361
test	197	18	361
test	197	18	361
test	197	21	361
test	197	21	361
test	197	24	361
test	197	25	361
test	206	28	361
test	206	28	361
test	206	29	361
test	318	4	362
test	318	5	362
test	318	6	362
test	214	8	362
test	200	15	362
test	318	15	362
test	318	15	362
test	318	20	362
test	318	21	362
test	318	21	362
test	200	23	362
test	318	24	362
test	318	24	362
test	318	27	362
test	318	30	362
test	300	3	363
test	332	3	363
test	300	4	363
test	332	7	363
test	332	8	363
test	332	9	363
test	300	17	363
test	214	19	363
test	300	21	363
test	332	27	363
test	332	29	363
test	300	30	363
test	149	3	364
test	216	5	364
test	216	8	364
test	149	8	364
test	267	10	364
test	216	17	364
test	303	24	364
test	303	24	364
test	149	26	364
test	304	1	365
test	304	6	365
test	346	7	365
test	216	8	365
test	216	9	365
test	303	11	365
test	303	12	365
test	303	13	365
test	303	13	365
test	216	14	365
test	216	14	365
test	216	14	365
test	303	15	365
test	62	18	365
test	346	24	365
test	216	26	365
test	303	26	365
test	216	28	365
test	149	28	365
