session	deer_id	occasion	trap.id
test	54	1	200
test	148	2	200
test	161	6	200
test	54	8	200
test	54	8	200
test	148	13	200
test	148	14	200
test	38	14	200
test	148	14	200
test	148	14	200
test	148	15	200
test	148	15	200
test	54	15	200
test	54	15	200
test	148	16	200
test	148	16	200
test	148	17	200
test	38	18	200
test	148	21	200
test	38	21	200
test	148	22	200
test	148	22	200
test	161	24	200
test	38	29	200
test	148	30	200
test	187	6	202
test	187	7	202
test	187	21	202
test	170	23	202
test	149	10	203
test	72	23	203
test	72	25	203
test	72	25	203
test	72	25	203
test	149	2	204
test	149	2	204
test	149	19	204
test	149	20	204
test	63	23	204
test	149	25	204
test	149	27	204
test	40	1	205
test	40	1	205
test	40	4	205
test	63	4	205
test	63	5	205
test	63	5	205
test	63	6	205
test	63	8	205
test	94	8	205
test	40	8	205
test	94	9	205
test	63	9	205
test	63	10	205
test	63	12	205
test	63	14	205
test	63	14	205
test	63	14	205
test	63	16	205
test	63	20	205
test	157	20	205
test	157	21	205
test	40	22	205
test	63	22	205
test	94	23	205
test	94	23	205
test	63	24	205
test	63	24	205
test	63	26	205
test	63	27	205
test	63	28	205
test	157	29	205
test	157	30	205
test	157	30	205
test	157	30	205
test	101	2	206
test	101	2	206
test	101	2	206
test	99	3	206
test	101	3	206
test	101	4	206
test	116	4	206
test	116	4	206
test	101	6	206
test	101	7	206
test	101	7	206
test	101	8	206
test	101	9	206
test	101	10	206
test	99	10	206
test	101	11	206
test	101	12	206
test	101	12	206
test	101	13	206
test	101	13	206
test	101	13	206
test	101	14	206
test	101	14	206
test	101	14	206
test	101	14	206
test	101	15	206
test	101	16	206
test	101	17	206
test	101	18	206
test	101	19	206
test	101	19	206
test	101	21	206
test	101	21	206
test	101	22	206
test	101	24	206
test	101	24	206
test	101	25	206
test	101	25	206
test	101	26	206
test	101	27	206
test	101	27	206
test	101	28	206
test	101	28	206
test	101	28	206
test	101	28	206
test	101	29	206
test	101	30	206
test	101	30	206
test	116	2	207
test	116	2	207
test	116	4	207
test	116	4	207
test	99	5	207
test	116	5	207
test	99	6	207
test	116	7	207
test	99	8	207
test	116	8	207
test	116	9	207
test	116	10	207
test	116	10	207
test	116	14	207
test	116	14	207
test	116	16	207
test	116	17	207
test	116	19	207
test	116	21	207
test	116	22	207
test	116	24	207
test	116	27	207
test	116	27	207
test	99	28	207
test	116	28	207
test	116	29	207
test	116	29	207
test	116	30	207
test	10	3	208
test	33	1	209
test	180	3	209
test	142	11	209
test	33	15	209
test	33	18	209
test	10	25	209
test	180	28	209
test	180	30	209
test	33	11	210
test	158	4	211
test	158	4	211
test	2	4	212
test	2	4	212
test	2	6	212
test	175	10	212
test	175	12	212
test	2	16	212
test	117	17	212
test	2	23	212
test	2	30	212
test	198	3	213
test	2	11	213
test	2	12	213
test	2	13	213
test	2	17	213
test	2	17	213
test	198	20	213
test	2	20	213
test	2	23	213
test	198	5	214
test	198	6	214
test	198	24	214
test	81	1	218
test	164	6	218
test	164	9	218
test	164	18	218
test	164	28	218
test	95	10	219
test	12	30	219
test	95	1	220
test	95	3	220
test	12	3	220
test	95	5	220
test	95	5	220
test	95	7	220
test	95	7	220
test	95	8	220
test	77	9	220
test	95	9	220
test	95	10	220
test	77	13	220
test	95	15	220
test	95	17	220
test	95	20	220
test	95	22	220
test	77	22	220
test	95	24	220
test	77	26	220
test	77	27	220
test	95	27	220
test	95	29	220
test	28	13	221
test	28	29	221
test	136	26	222
test	136	26	222
test	136	8	223
test	178	20	224
test	178	27	224
test	144	2	225
test	178	3	225
test	178	6	225
test	178	7	225
test	178	8	225
test	106	10	225
test	51	13	225
test	51	14	225
test	178	17	225
test	178	19	225
test	178	21	225
test	178	23	225
test	178	25	225
test	178	26	225
test	183	1	226
test	106	1	226
test	183	2	226
test	183	5	226
test	144	7	226
test	106	8	226
test	144	10	226
test	144	11	226
test	144	14	226
test	144	15	226
test	113	15	226
test	106	15	226
test	113	15	226
test	106	15	226
test	183	16	226
test	106	17	226
test	183	18	226
test	113	18	226
test	183	18	226
test	144	19	226
test	183	19	226
test	183	21	226
test	106	21	226
test	183	21	226
test	183	21	226
test	183	24	226
test	183	25	226
test	106	27	226
test	183	27	226
test	106	27	226
test	183	27	226
test	183	28	226
test	144	30	226
test	183	30	226
test	113	1	227
test	113	5	227
test	113	12	227
test	110	14	227
test	110	20	227
test	113	22	227
test	69	4	228
test	111	7	228
test	69	16	228
test	69	16	228
test	69	21	228
test	69	27	228
test	150	7	229
test	69	10	229
test	150	16	229
test	150	21	229
test	150	28	229
test	150	30	229
test	150	30	229
test	182	26	230
test	59	1	231
test	59	2	231
test	19	4	231
test	19	5	231
test	59	7	231
test	19	7	231
test	59	7	231
test	19	10	231
test	139	14	231
test	19	14	231
test	19	15	231
test	59	15	231
test	19	18	231
test	59	18	231
test	59	19	231
test	59	19	231
test	4	20	231
test	19	20	231
test	59	26	231
test	59	26	231
test	19	28	231
test	19	28	231
test	19	29	231
test	19	30	231
test	4	30	231
test	19	30	231
test	59	7	232
test	59	23	232
test	59	28	232
test	174	1	234
test	174	1	234
test	174	1	234
test	174	1	234
test	174	2	234
test	174	2	234
test	174	4	234
test	174	5	234
test	174	7	234
test	174	7	234
test	174	8	234
test	174	8	234
test	174	8	234
test	174	9	234
test	174	9	234
test	34	10	234
test	174	10	234
test	174	10	234
test	174	11	234
test	174	11	234
test	174	11	234
test	174	12	234
test	174	13	234
test	174	13	234
test	174	14	234
test	174	14	234
test	174	15	234
test	174	15	234
test	147	16	234
test	174	16	234
test	174	18	234
test	34	18	234
test	174	18	234
test	174	23	234
test	174	23	234
test	174	23	234
test	174	24	234
test	174	24	234
test	174	26	234
test	174	26	234
test	174	27	234
test	174	28	234
test	147	28	234
test	147	28	234
test	174	28	234
test	174	28	234
test	174	29	234
test	174	29	234
test	147	8	235
test	107	11	235
test	174	14	235
test	174	16	235
test	147	20	235
test	34	20	235
test	147	21	235
test	147	23	235
test	147	30	235
test	147	30	235
