session	deer_id	occasion	trap.id
test	18	2	200
test	18	4	200
test	18	11	200
test	18	12	200
test	18	17	200
test	18	21	200
test	164	21	200
test	18	21	200
test	18	25	200
test	18	27	200
test	18	28	200
test	18	29	200
test	18	29	200
test	145	2	202
test	145	10	202
test	145	10	202
test	145	10	202
test	145	12	202
test	145	12	202
test	145	13	202
test	145	14	202
test	187	17	202
test	145	20	202
test	145	21	202
test	145	23	202
test	187	26	202
test	187	28	202
test	145	29	202
test	42	4	203
test	42	4	203
test	42	10	203
test	187	15	203
test	187	17	203
test	187	17	203
test	110	18	203
test	42	20	203
test	110	23	203
test	42	3	204
test	42	8	204
test	42	8	204
test	42	8	204
test	42	9	204
test	110	9	204
test	110	11	204
test	42	16	204
test	42	16	204
test	42	27	204
test	110	28	204
test	118	11	205
test	82	19	205
test	197	5	206
test	197	5	206
test	197	6	206
test	197	6	206
test	197	7	206
test	197	8	206
test	197	10	206
test	197	11	206
test	197	14	206
test	174	15	206
test	197	15	206
test	197	18	206
test	197	19	206
test	197	21	206
test	197	21	206
test	197	21	206
test	197	22	206
test	197	23	206
test	197	23	206
test	197	24	206
test	197	26	206
test	197	27	206
test	197	27	206
test	174	28	206
test	197	28	206
test	197	28	206
test	197	28	206
test	197	30	206
test	174	30	206
test	197	10	207
test	12	14	208
test	12	16	208
test	132	1	209
test	12	3	209
test	12	3	209
test	12	9	209
test	12	10	209
test	12	10	209
test	132	13	209
test	12	14	209
test	132	16	209
test	132	18	209
test	185	1	210
test	156	4	210
test	156	5	210
test	156	6	210
test	99	11	210
test	99	11	210
test	185	12	210
test	156	15	210
test	156	15	210
test	185	15	210
test	185	15	210
test	156	20	210
test	156	20	210
test	185	22	210
test	185	23	210
test	156	24	210
test	156	25	210
test	185	28	210
test	185	28	210
test	156	28	210
test	185	29	210
test	156	30	210
test	99	1	211
test	29	1	211
test	99	3	211
test	79	4	211
test	99	4	211
test	29	4	211
test	79	5	211
test	29	5	211
test	29	5	211
test	29	7	211
test	29	7	211
test	29	7	211
test	29	7	211
test	29	7	211
test	99	8	211
test	79	8	211
test	29	9	211
test	99	9	211
test	99	9	211
test	99	9	211
test	99	10	211
test	99	11	211
test	29	11	211
test	29	12	211
test	99	13	211
test	29	14	211
test	83	14	211
test	99	14	211
test	99	15	211
test	29	15	211
test	29	16	211
test	99	16	211
test	99	16	211
test	29	16	211
test	79	17	211
test	185	17	211
test	29	19	211
test	99	19	211
test	83	19	211
test	29	19	211
test	29	20	211
test	99	20	211
test	29	21	211
test	29	21	211
test	99	21	211
test	99	22	211
test	29	24	211
test	29	25	211
test	99	25	211
test	29	25	211
test	79	26	211
test	99	26	211
test	29	26	211
test	79	26	211
test	29	27	211
test	29	28	211
test	99	28	211
test	29	28	211
test	29	29	211
test	29	29	211
test	99	29	211
test	29	29	211
test	43	1	213
test	9	2	213
test	9	5	213
test	9	5	213
test	9	7	213
test	9	7	213
test	9	9	213
test	9	9	213
test	155	11	213
test	43	11	213
test	43	11	213
test	43	11	213
test	155	13	213
test	155	14	213
test	9	15	213
test	43	16	213
test	43	17	213
test	155	18	213
test	9	21	213
test	43	21	213
test	43	21	213
test	9	21	213
test	155	22	213
test	155	24	213
test	9	28	213
test	9	28	213
test	43	28	213
test	9	29	213
test	155	30	213
test	43	30	213
test	9	30	213
test	150	1	215
test	77	2	215
test	150	4	215
test	150	7	215
test	150	8	215
test	150	8	215
test	150	13	215
test	150	15	215
test	150	17	215
test	150	18	215
test	150	20	215
test	150	24	215
test	150	24	215
test	150	25	215
test	150	25	215
test	77	30	215
test	77	2	216
test	123	3	216
test	77	4	216
test	77	4	216
test	77	5	216
test	77	5	216
test	77	6	216
test	77	7	216
test	77	8	216
test	77	11	216
test	77	11	216
test	77	12	216
test	77	21	216
test	77	23	216
test	77	27	216
test	77	27	216
test	77	29	216
test	77	29	216
test	77	29	216
test	115	3	217
test	115	8	217
test	31	10	217
test	115	11	217
test	115	15	217
test	115	17	217
test	115	17	217
test	115	20	217
test	115	22	217
test	115	24	217
test	31	24	217
test	115	25	217
test	115	26	217
test	31	28	217
test	17	11	218
test	17	11	218
test	17	14	218
test	17	16	218
test	17	17	218
test	17	19	218
test	142	7	219
test	142	10	219
test	142	14	219
test	142	16	219
test	142	19	219
test	142	26	219
test	142	27	219
test	142	27	219
test	142	29	219
test	142	1	220
test	138	1	220
test	142	10	220
test	41	13	220
test	138	25	220
test	138	25	220
test	138	15	221
test	183	2	223
test	183	3	223
test	183	4	223
test	183	16	223
test	183	18	223
test	183	18	223
test	192	29	223
test	35	5	224
test	102	8	224
test	102	10	224
test	35	14	224
test	35	14	224
test	35	14	224
test	102	15	224
test	102	15	224
test	35	18	224
test	35	19	224
test	35	23	224
test	35	27	224
test	35	28	224
test	35	29	224
test	144	1	225
test	144	1	225
test	24	2	225
test	144	5	225
test	144	6	225
test	144	7	225
test	144	9	225
test	144	9	225
test	144	10	225
test	24	11	225
test	144	12	225
test	144	12	225
test	24	17	225
test	24	17	225
test	24	18	225
test	144	18	225
test	144	18	225
test	144	19	225
test	144	20	225
test	144	20	225
test	144	21	225
test	144	23	225
test	24	24	225
test	144	26	225
test	24	26	225
test	144	27	225
test	144	27	225
test	144	28	225
test	65	4	227
test	180	22	227
test	111	25	227
test	53	3	229
test	101	4	229
test	53	5	229
test	53	7	229
test	53	8	229
test	53	8	229
test	53	9	229
