"","year","detection_type","mean_dets","sd_dets"
"1",2018,"adult_only",0.545083041958042,0.447442055413911
"2",2018,"fawns_present",0.344413919413919,0.340846051986324
"3",2019,"adult_only",0.632142857142857,0.411509530949547
"4",2019,"fawns_present",0.301333333333333,0.28762758843621
"5",2020,"adult_only",0.529353216046198,0.446498058440987
"6",2020,"fawns_present",0.16470150764039,0.181269372460013
"7",2021,"adult_only",0.751410757296607,0.482321207230835
"8",2021,"fawns_present",0.134174876847291,0.189211020385781
"9",2022,"adult_only",0.531182795698925,0.431357502660558
"10",2022,"fawns_present",0.202380952380952,0.231105514787758
"11",2023,"adult_only",0.475200278648555,0.376784368230761
"12",2023,"fawns_present",0.297735734772772,0.34751998530238
