"population_size","sex_group","mean_density","pop_estimate","relative_bias"
400,"all",21.144691094317,211.44691094317,-0.471382722642076
400,"females",8.69004264120471,173.800852824094,-0.565497867939764
360,"all",17.6879192389769,176.879192389769,-0.508668910028419
360,"females",7.83984471133791,156.796894226758,-0.564453071592338
300,"all",13.700178825209,137.00178825209,-0.543327372493032
300,"females",6.29661575966325,125.932315193265,-0.58022561602245
200,"all",10.7905756844706,107.905756844706,-0.460471215776469
200,"females",4.425849462367,88.51698924734,-0.5574150537633
