trap.id x y usage
1 476440.214529125 5362547.40419675 111111111111111000000000000000
2 476564.796944833 5362469.53563758 111111111111111111111111111111
3 477214.535715114 5362518.79611084 111111111111111111111111111111
4 477571.702980622 5362385.34331131 111111111111111111111111111111
5 476471.529873919 5362961.01998384 111111111111111111111111111111
6 476782.346132289 5362975.17650893 111111111111111111111111111111
7 477346.922476165 5362835.61451187 111111111111111111111111111111
8 477697.723338857 5362818.55027168 111111111111111111111110000000
9 476518.034335826 5363470.29057201 111111111111111111111111111111
10 476910.845200635 5363823.32546585 111111111111111111111111111111
11 477028.598878127 5363489.81195476 111111111111111111111111111111
12 477412.034936309 5363281.08855296 111111111111111111111111111111
13 476555.894150313 5363680.09488943 111111111111111111111111111111
14 476742.726936504 5363507.55254371 111111111111111111111111111111
15 476514.864149003 5364061.93735818 111111111111111111111111111111
16 476404.923083611 5364733.61617933 111111111111111111111111111111
17 476891.685772748 5364385.78992637 111000000000000000000000000000
18 477102.558460206 5364435.79410377 111111111111111111111111111111
19 476641.899205082 5364730.23742767 111111111111111111111111111111
20 477385.752789142 5364666.7498815 111111111111111111111111111111
21 477189.259426368 5365043.68948722 111111111111111111111111111111
22 476782.733832132 5365452.28378687 111111111111111111111111111111
23 476709.014045074 5365294.30023431 111110000000000000000000000000
24 477368.26591288 5365177.3955699 111111111111111111111111111111
25 476394.980560793 5365755.34241599 111111111111111111111111111111
26 477132.729056945 5365459.31971366 111111111111111111111111111111
27 477222.904787807 5365814.03879419 111111111111111111111111111111
28 478124.934502231 5365764.16667616 111111111111111111111111111111
29 476657.133331459 5366039.26009427 111111111111111111111111111111
30 476878.346618573 5366553.38811311 111111111111111111111111111111
31 477489.959505688 5366374.91386795 111111111111111111111111111111
32 477830.371239357 5366083.34198717 111111111111111111111111111111
33 476418.145746814 5367002.19743979 111111111111111111111111111111
34 476516.076862151 5366565.8349732 111111111111111111111111111111
35 477035.202986701 5366941.79662331 111111111111111111111111111111
36 477522.425701276 5366748.40527863 111111111111111111111111111111
