trap.id x y usage
1 476602.530218038 5362432.48831974 11111111111111111111111111111111111
2 477202.056897387 5362470.18462475 11111111111111111111111111111111111
3 476471.529873919 5362961.01998384 11111111111111111111111111111111111
4 476782.346132289 5362975.17650893 11111111111111111111111111111111111
5 477285.369713142 5362948.43702505 11111111111111111110000000000000000
6 476518.034335826 5363470.29057201 11111111111111111111111111111111111
7 477134.740574871 5364125.44037109 11111111111111111111111111111111111
8 477028.598878127 5363489.81195476 11111111111111111111111111111111111
9 477375.685020501 5363330.94459058 11111111111111111111111111111111111
10 476814.114593429 5363506.12396866 11111111111111111111111111111111111
11 476490.965468637 5364078.67318352 11111111111111111111111111111111111
12 476404.923083611 5364733.61617933 11111111111111111111111111111111111
13 477091.530154967 5364415.85508972 11111111111111111111111111111111111
14 476538.905416931 5364936.84530567 11111111111111111111111111111111111
15 476842.065382193 5364913.98333388 11111111111111111111111111111111111
16 477358.401460248 5364559.90274461 11111111111111111111111111111111111
17 477175.323289048 5365017.61175432 11111111111111111111111111111111111
18 476455.599990809 5363600.33073223 11111111111111111111111111111100000
19 476695.904894976 5365343.76971608 11111111111111111111111111111111111
20 477368.26591288 5365177.3955699 11111111111111111111111111111111111
21 477787.503687463 5365391.67500333 11111111111111111111111111111111111
22 476712.220235167 5365714.22264252 11111111111111111111111111111111111
23 477132.729056945 5365459.31971366 11111111111111111111111111111111111
24 477222.904787807 5365814.03879419 11111111111111111111111111111111111
25 478124.934502231 5365764.16667616 11111111111111111111111111111111111
26 476647.483831696 5366156.02615876 11111111111111100000000000000000000
27 476878.346618573 5366553.38811311 11111111111111111111111111111111111
28 477528.34884438 5366377.86149744 11111111111111111111111111111111111
29 477830.371239357 5366083.34198717 11111111111111111111111111111111111
30 476318.584493124 5367080.60827221 11111111111111111111111111111111111
31 476494.028348267 5366598.19850547 00000000000000000000000000000000111
32 477035.202986701 5366941.79662331 11111111111111111111111111111111111
