File,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,Buck,MarkedDoe,UnmarkedDoe,Doe_UnknownifMarked,Fawn,UnknownSex,Unknown_UnknownifMarked,UnknownAgeGroup,Comments,TotalAdult,TotalFawn,Location,Classifier,Malfunction,ICDoe_2019,ControlCollar_Colour,ControlCollar_Tag,ICCollar_Colour,EarTagNumber_2019,EarTagNumber_2020,EarTagColour_2019,EarTagColour2020,ICDoe_2020,Multi_Marked_Comments,TotalMarked
10080565.JPG,,Site 10,08-Oct-20,4:04:09,Ok,FALSE,0,0,0,0,0,0,1,0,,,,Site10,KB,FALSE,0,,,,,,,,0,,
10080566.JPG,,Site 10,08-Oct-20,4:04:10,Ok,FALSE,0,0,0,0,0,0,1,0,,,,Site10,KB,FALSE,0,,,,,,,,0,,
10080567.JPG,,Site 10,08-Oct-20,4:04:11,Ok,FALSE,0,0,0,0,0,0,1,0,,,,Site10,KB,FALSE,0,,,,,,,,0,,
10080568.JPG,,Site 10,08-Oct-20,8:38:54,Ok,FALSE,0,1,0,0,0,0,0,0,,2,,Site10,KB,FALSE,1,Unknown,Unknown,Yellow-Stripe,26,,Blue,,0,,2
10080569.JPG,,Site 10,08-Oct-20,8:38:54,Ok,FALSE,0,1,0,0,0,0,0,0,,3,,Site10,KB,FALSE,1,Unknown,Unknown,Yellow-Stripe,26,70,Blue,Yellow,1,,3
10080570.JPG,,Site 10,08-Oct-20,8:38:55,Ok,FALSE,0,1,0,0,0,0,0,0,,3,,Site10,KB,FALSE,1,Unknown,Unknown,Yellow-Stripe,26,70,Blue,Yellow,1,,3
10080571.JPG,,Site 10,08-Oct-20,8:39:41,Ok,FALSE,0,1,0,0,0,0,0,0,,3,,Site10,KB,FALSE,1,Unknown,Unknown,Yellow-Stripe,26,70,Blue,Yellow,1,,3
10080572.JPG,,Site 10,08-Oct-20,8:39:41,Ok,FALSE,0,1,0,0,0,0,0,0,,3,,Site10,KB,FALSE,1,Unknown,Unknown,Yellow-Stripe,26,70,Blue,Yellow,1,,3
10080573.JPG,,Site 10,08-Oct-20,8:39:42,Ok,FALSE,0,1,0,0,0,0,0,0,,3,,Site10,KB,FALSE,1,Unknown,Unknown,Yellow-Stripe,26,70,Blue,Yellow,1,,3
10080574.JPG,,Site 10,08-Oct-20,8:43:35,Ok,FALSE,0,1,0,0,0,0,0,0,,3,,Site10,KB,FALSE,1,Unknown,Unknown,Yellow-Stripe,26,70,Blue,Yellow,1,,3
