camera_id,xcor,ycor,tick,deer_id,sex,number-deer,run_num
392,347.85054261852173,79.05694150420948,14150,279,male,360,18
384,284.60498941515414,15.811388300841896,14151,86,female,360,18
384,284.60498941515414,15.811388300841896,14152,86,female,360,18
384,284.60498941515414,15.811388300841896,14153,86,female,360,18
384,284.60498941515414,15.811388300841896,14154,86,female,360,18
384,284.60498941515414,15.811388300841896,14155,86,female,360,18
385,284.60498941515414,47.43416490252569,14183,342,male,360,18
385,284.60498941515414,47.43416490252569,14184,342,male,360,18
385,284.60498941515414,47.43416490252569,14185,342,male,360,18
385,284.60498941515414,47.43416490252569,14186,342,male,360,18
385,284.60498941515414,47.43416490252569,14187,342,male,360,18
369,94.86832980505137,110.67971810589327,14187,345,male,360,18
385,284.60498941515414,47.43416490252569,14188,342,male,360,18
369,94.86832980505137,110.67971810589327,14188,345,male,360,18
369,94.86832980505137,110.67971810589327,14189,345,male,360,18
385,284.60498941515414,47.43416490252569,14189,342,male,360,18
369,94.86832980505137,110.67971810589327,14190,345,male,360,18
385,284.60498941515414,47.43416490252569,14190,342,male,360,18
385,284.60498941515414,47.43416490252569,14191,342,male,360,18
369,94.86832980505137,110.67971810589327,14191,345,male,360,18
369,94.86832980505137,110.67971810589327,14192,345,male,360,18
385,284.60498941515414,47.43416490252569,14192,342,male,360,18
369,94.86832980505137,110.67971810589327,14193,345,male,360,18
385,284.60498941515414,47.43416490252569,14193,342,male,360,18
369,94.86832980505137,110.67971810589327,14194,345,male,360,18
369,94.86832980505137,110.67971810589327,14195,345,male,360,18
369,94.86832980505137,110.67971810589327,14196,345,male,360,18
369,94.86832980505137,110.67971810589327,14197,345,male,360,18
369,94.86832980505137,110.67971810589327,14198,345,male,360,18
369,94.86832980505137,110.67971810589327,14199,345,male,360,18
369,94.86832980505137,110.67971810589327,14200,345,male,360,18
369,94.86832980505137,110.67971810589327,14201,345,male,360,18
369,94.86832980505137,110.67971810589327,14202,345,male,360,18
369,94.86832980505137,110.67971810589327,14203,345,male,360,18
386,284.60498941515414,79.05694150420948,14203,54,male,360,18
384,284.60498941515414,15.811388300841896,14204,181,male,360,18
369,94.86832980505137,110.67971810589327,14204,345,male,360,18
384,284.60498941515414,15.811388300841896,14205,181,male,360,18
384,284.60498941515414,15.811388300841896,14206,181,male,360,18
384,284.60498941515414,15.811388300841896,14207,181,male,360,18
384,284.60498941515414,15.811388300841896,14208,181,male,360,18
384,284.60498941515414,15.811388300841896,14209,181,male,360,18
384,284.60498941515414,15.811388300841896,14210,181,male,360,18
384,284.60498941515414,15.811388300841896,14211,181,male,360,18
391,347.85054261852173,47.43416490252569,14211,314,female,360,18
384,284.60498941515414,15.811388300841896,14212,181,male,360,18
391,347.85054261852173,47.43416490252569,14212,314,female,360,18
384,284.60498941515414,15.811388300841896,14213,181,male,360,18
391,347.85054261852173,47.43416490252569,14213,314,female,360,18
384,284.60498941515414,15.811388300841896,14214,181,male,360,18
391,347.85054261852173,47.43416490252569,14214,314,female,360,18
391,347.85054261852173,47.43416490252569,14215,314,female,360,18
391,347.85054261852173,47.43416490252569,14216,314,female,360,18
391,347.85054261852173,47.43416490252569,14217,314,female,360,18
391,347.85054261852173,47.43416490252569,14218,314,female,360,18
384,284.60498941515414,15.811388300841896,14224,181,male,360,18
384,284.60498941515414,15.811388300841896,14225,181,male,360,18
384,284.60498941515414,15.811388300841896,14226,181,male,360,18
384,284.60498941515414,15.811388300841896,14227,181,male,360,18
384,284.60498941515414,15.811388300841896,14228,181,male,360,18
384,284.60498941515414,15.811388300841896,14229,181,male,360,18
384,284.60498941515414,15.811388300841896,14230,181,male,360,18
384,284.60498941515414,15.811388300841896,14231,181,male,360,18
384,284.60498941515414,15.811388300841896,14232,181,male,360,18
384,284.60498941515414,15.811388300841896,14233,181,male,360,18
386,284.60498941515414,79.05694150420948,14233,54,male,360,18
372,158.11388300841895,15.811388300841896,14234,149,male,360,18
386,284.60498941515414,79.05694150420948,14234,54,male,360,18
384,284.60498941515414,15.811388300841896,14234,181,male,360,18
386,284.60498941515414,79.05694150420948,14235,54,male,360,18
384,284.60498941515414,15.811388300841896,14235,181,male,360,18
372,158.11388300841895,15.811388300841896,14235,149,male,360,18
386,284.60498941515414,79.05694150420948,14236,54,male,360,18
372,158.11388300841895,15.811388300841896,14236,149,male,360,18
372,158.11388300841895,15.811388300841896,14237,149,male,360,18
386,284.60498941515414,79.05694150420948,14237,54,male,360,18
377,158.11388300841895,173.92527130926086,14238,63,female,360,18
386,284.60498941515414,79.05694150420948,14238,54,male,360,18
372,158.11388300841895,15.811388300841896,14238,149,male,360,18
377,158.11388300841895,173.92527130926086,14239,63,female,360,18
372,158.11388300841895,15.811388300841896,14239,149,male,360,18
377,158.11388300841895,173.92527130926086,14240,63,female,360,18
377,158.11388300841895,173.92527130926086,14241,63,female,360,18
377,158.11388300841895,173.92527130926086,14242,63,female,360,18
377,158.11388300841895,173.92527130926086,14243,63,female,360,18
377,158.11388300841895,173.92527130926086,14244,63,female,360,18
385,284.60498941515414,47.43416490252569,14244,122,female,360,18
385,284.60498941515414,47.43416490252569,14245,122,female,360,18
377,158.11388300841895,173.92527130926086,14245,63,female,360,18
377,158.11388300841895,173.92527130926086,14246,63,female,360,18
385,284.60498941515414,47.43416490252569,14246,122,female,360,18
373,158.11388300841895,47.43416490252569,14247,269,female,360,18
385,284.60498941515414,47.43416490252569,14247,122,female,360,18
373,158.11388300841895,47.43416490252569,14248,269,female,360,18
373,158.11388300841895,47.43416490252569,14249,269,female,360,18
373,158.11388300841895,47.43416490252569,14250,269,female,360,18
373,158.11388300841895,47.43416490252569,14251,269,female,360,18
384,284.60498941515414,15.811388300841896,14300,20,female,360,18
384,284.60498941515414,15.811388300841896,14301,20,female,360,18
360,31.622776601683793,15.811388300841896,14360,116,male,360,18
360,31.622776601683793,15.811388300841896,14361,116,male,360,18
360,31.622776601683793,15.811388300841896,14362,116,male,360,18
368,94.86832980505137,79.05694150420948,14367,339,male,360,18
368,94.86832980505137,79.05694150420948,14368,339,male,360,18
368,94.86832980505137,79.05694150420948,14369,339,male,360,18
368,94.86832980505137,79.05694150420948,14370,339,male,360,18
365,31.622776601683793,173.92527130926086,14377,310,female,360,18
365,31.622776601683793,173.92527130926086,14378,310,female,360,18
365,31.622776601683793,173.92527130926086,14379,310,female,360,18
365,31.622776601683793,173.92527130926086,14380,310,female,360,18
365,31.622776601683793,173.92527130926086,14381,310,female,360,18
365,31.622776601683793,173.92527130926086,14382,310,female,360,18
365,31.622776601683793,173.92527130926086,14383,310,female,360,18
365,31.622776601683793,173.92527130926086,14384,310,female,360,18
365,31.622776601683793,173.92527130926086,14385,310,female,360,18
365,31.622776601683793,173.92527130926086,14386,310,female,360,18
390,347.85054261852173,15.811388300841896,14469,109,male,360,18
390,347.85054261852173,15.811388300841896,14470,109,male,360,18
390,347.85054261852173,15.811388300841896,14471,109,male,360,18
390,347.85054261852173,15.811388300841896,14472,109,male,360,18
390,347.85054261852173,15.811388300841896,14473,109,male,360,18
390,347.85054261852173,15.811388300841896,14474,109,male,360,18
389,284.60498941515414,173.92527130926086,14476,129,male,360,18
389,284.60498941515414,173.92527130926086,14477,129,male,360,18
389,284.60498941515414,173.92527130926086,14478,129,male,360,18
389,284.60498941515414,173.92527130926086,14479,129,male,360,18
389,284.60498941515414,173.92527130926086,14480,129,male,360,18
389,284.60498941515414,173.92527130926086,14481,129,male,360,18
389,284.60498941515414,173.92527130926086,14482,129,male,360,18
389,284.60498941515414,173.92527130926086,14483,129,male,360,18
384,284.60498941515414,15.811388300841896,14494,259,male,360,18
362,31.622776601683793,79.05694150420948,14535,43,female,360,18
362,31.622776601683793,79.05694150420948,14536,43,female,360,18
392,347.85054261852173,79.05694150420948,14553,13,male,360,18
392,347.85054261852173,79.05694150420948,14554,13,male,360,18
392,347.85054261852173,79.05694150420948,14555,13,male,360,18
392,347.85054261852173,79.05694150420948,14556,13,male,360,18
392,347.85054261852173,79.05694150420948,14557,13,male,360,18
392,347.85054261852173,79.05694150420948,14558,13,male,360,18
360,31.622776601683793,15.811388300841896,14577,177,female,360,18
360,31.622776601683793,15.811388300841896,14578,177,female,360,18
360,31.622776601683793,15.811388300841896,14579,177,female,360,18
360,31.622776601683793,15.811388300841896,14580,177,female,360,18
360,31.622776601683793,15.811388300841896,14581,177,female,360,18
360,31.622776601683793,15.811388300841896,14582,177,female,360,18
382,221.35943621178654,142.30249470757707,14688,112,male,360,18
382,221.35943621178654,142.30249470757707,14689,112,male,360,18
382,221.35943621178654,142.30249470757707,14690,112,male,360,18
382,221.35943621178654,142.30249470757707,14691,112,male,360,18
382,221.35943621178654,142.30249470757707,14692,112,male,360,18
382,221.35943621178654,142.30249470757707,14693,112,male,360,18
366,94.86832980505137,15.811388300841896,14695,4,male,360,18
366,94.86832980505137,15.811388300841896,14696,4,male,360,18
380,221.35943621178654,79.05694150420948,14715,282,female,360,18
375,158.11388300841895,110.67971810589327,14716,208,female,360,18
375,158.11388300841895,110.67971810589327,14717,208,female,360,18
375,158.11388300841895,110.67971810589327,14718,208,female,360,18
375,158.11388300841895,110.67971810589327,14719,208,female,360,18
375,158.11388300841895,110.67971810589327,14720,208,female,360,18
375,158.11388300841895,110.67971810589327,14721,208,female,360,18
375,158.11388300841895,110.67971810589327,14722,208,female,360,18
375,158.11388300841895,110.67971810589327,14723,208,female,360,18
384,284.60498941515414,15.811388300841896,14794,86,female,360,18
384,284.60498941515414,15.811388300841896,14795,86,female,360,18
384,284.60498941515414,15.811388300841896,14796,86,female,360,18
384,284.60498941515414,15.811388300841896,14797,86,female,360,18
384,284.60498941515414,15.811388300841896,14798,86,female,360,18
384,284.60498941515414,15.811388300841896,14799,86,female,360,18
384,284.60498941515414,15.811388300841896,14800,86,female,360,18
384,284.60498941515414,15.811388300841896,14801,86,female,360,18
384,284.60498941515414,15.811388300841896,14802,86,female,360,18
367,94.86832980505137,47.43416490252569,14802,306,female,360,18
384,284.60498941515414,15.811388300841896,14803,86,female,360,18
