camera_id,xcor,ycor,ticks,run_num,number_deer
414,158.11388300841895,79.05694150420948,43200,5,400
433,347.85054261852173,110.67971810589327,43200,5,400
430,347.85054261852173,15.811388300841896,43200,5,400
400,31.622776601683793,15.811388300841896,43200,5,400
410,94.86832980505137,142.30249470757707,43200,5,400
404,31.622776601683793,142.30249470757707,43200,5,400
419,221.35943621178654,47.43416490252569,43200,5,400
432,347.85054261852173,79.05694150420948,43200,5,400
425,284.60498941515414,47.43416490252569,43200,5,400
418,221.35943621178654,15.811388300841896,43200,5,400
422,221.35943621178654,142.30249470757707,43200,5,400
428,284.60498941515414,142.30249470757707,43200,5,400
415,158.11388300841895,110.67971810589327,43200,5,400
421,221.35943621178654,110.67971810589327,43200,5,400
435,347.85054261852173,173.92527130926086,43200,5,400
409,94.86832980505137,110.67971810589327,43200,5,400
423,221.35943621178654,173.92527130926086,43200,5,400
403,31.622776601683793,110.67971810589327,43200,5,400
405,31.622776601683793,173.92527130926086,43200,5,400
402,31.622776601683793,79.05694150420948,43200,5,400
413,158.11388300841895,47.43416490252569,43200,5,400
416,158.11388300841895,142.30249470757707,43200,5,400
411,94.86832980505137,173.92527130926086,43200,5,400
412,158.11388300841895,15.811388300841896,43200,5,400
408,94.86832980505137,79.05694150420948,43200,5,400
431,347.85054261852173,47.43416490252569,43200,5,400
427,284.60498941515414,110.67971810589327,43200,5,400
417,158.11388300841895,173.92527130926086,43200,5,400
406,94.86832980505137,15.811388300841896,43200,5,400
426,284.60498941515414,79.05694150420948,43200,5,400
401,31.622776601683793,47.43416490252569,43200,5,400
420,221.35943621178654,79.05694150420948,43200,5,400
424,284.60498941515414,15.811388300841896,43200,5,400
429,284.60498941515414,173.92527130926086,43200,5,400
434,347.85054261852173,142.30249470757707,43200,5,400
407,94.86832980505137,47.43416490252569,43200,5,400
