camera_id,xcor,ycor,ticks,run_num,number_deer
234,347.85054261852173,142.30249470757707,43200,33,200
216,158.11388300841895,142.30249470757707,43200,33,200
206,94.86832980505137,15.811388300841896,43200,33,200
228,284.60498941515414,142.30249470757707,43200,33,200
207,94.86832980505137,47.43416490252569,43200,33,200
211,94.86832980505137,173.92527130926086,43200,33,200
221,221.35943621178654,110.67971810589327,43200,33,200
200,31.622776601683793,15.811388300841896,43200,33,200
219,221.35943621178654,47.43416490252569,43200,33,200
232,347.85054261852173,79.05694150420948,43200,33,200
214,158.11388300841895,79.05694150420948,43200,33,200
208,94.86832980505137,79.05694150420948,43200,33,200
212,158.11388300841895,15.811388300841896,43200,33,200
230,347.85054261852173,15.811388300841896,43200,33,200
204,31.622776601683793,142.30249470757707,43200,33,200
227,284.60498941515414,110.67971810589327,43200,33,200
222,221.35943621178654,142.30249470757707,43200,33,200
220,221.35943621178654,79.05694150420948,43200,33,200
225,284.60498941515414,47.43416490252569,43200,33,200
215,158.11388300841895,110.67971810589327,43200,33,200
203,31.622776601683793,110.67971810589327,43200,33,200
217,158.11388300841895,173.92527130926086,43200,33,200
205,31.622776601683793,173.92527130926086,43200,33,200
231,347.85054261852173,47.43416490252569,43200,33,200
202,31.622776601683793,79.05694150420948,43200,33,200
209,94.86832980505137,110.67971810589327,43200,33,200
233,347.85054261852173,110.67971810589327,43200,33,200
218,221.35943621178654,15.811388300841896,43200,33,200
226,284.60498941515414,79.05694150420948,43200,33,200
229,284.60498941515414,173.92527130926086,43200,33,200
224,284.60498941515414,15.811388300841896,43200,33,200
210,94.86832980505137,142.30249470757707,43200,33,200
201,31.622776601683793,47.43416490252569,43200,33,200
235,347.85054261852173,173.92527130926086,43200,33,200
213,158.11388300841895,47.43416490252569,43200,33,200
223,221.35943621178654,173.92527130926086,43200,33,200
