camera_id,xcor,ycor,tick,deer_id,sex,number-deer,run_num
213,158.11388300841895,47.43416490252569,4,20,male,200,36
213,158.11388300841895,47.43416490252569,5,20,male,200,36
213,158.11388300841895,47.43416490252569,6,20,male,200,36
213,158.11388300841895,47.43416490252569,7,20,male,200,36
234,347.85054261852173,142.30249470757707,12,174,female,200,36
234,347.85054261852173,142.30249470757707,13,174,female,200,36
234,347.85054261852173,142.30249470757707,14,174,female,200,36
234,347.85054261852173,142.30249470757707,15,174,female,200,36
234,347.85054261852173,142.30249470757707,16,174,female,200,36
234,347.85054261852173,142.30249470757707,17,174,female,200,36
234,347.85054261852173,142.30249470757707,18,174,female,200,36
234,347.85054261852173,142.30249470757707,19,174,female,200,36
234,347.85054261852173,142.30249470757707,20,174,female,200,36
234,347.85054261852173,142.30249470757707,21,174,female,200,36
214,158.11388300841895,79.05694150420948,53,61,female,200,36
214,158.11388300841895,79.05694150420948,54,61,female,200,36
214,158.11388300841895,79.05694150420948,55,61,female,200,36
214,158.11388300841895,79.05694150420948,56,61,female,200,36
214,158.11388300841895,79.05694150420948,57,61,female,200,36
214,158.11388300841895,79.05694150420948,58,61,female,200,36
214,158.11388300841895,79.05694150420948,59,61,female,200,36
214,158.11388300841895,79.05694150420948,60,61,female,200,36
214,158.11388300841895,79.05694150420948,61,61,female,200,36
214,158.11388300841895,79.05694150420948,62,61,female,200,36
204,31.622776601683793,142.30249470757707,78,50,male,200,36
204,31.622776601683793,142.30249470757707,79,50,male,200,36
204,31.622776601683793,142.30249470757707,80,50,male,200,36
204,31.622776601683793,142.30249470757707,81,50,male,200,36
204,31.622776601683793,142.30249470757707,82,50,male,200,36
204,31.622776601683793,142.30249470757707,83,50,male,200,36
204,31.622776601683793,142.30249470757707,84,50,male,200,36
204,31.622776601683793,142.30249470757707,85,50,male,200,36
204,31.622776601683793,142.30249470757707,86,50,male,200,36
204,31.622776601683793,142.30249470757707,87,50,male,200,36
204,31.622776601683793,142.30249470757707,88,50,male,200,36
204,31.622776601683793,142.30249470757707,89,50,male,200,36
204,31.622776601683793,142.30249470757707,90,50,male,200,36
204,31.622776601683793,142.30249470757707,91,50,male,200,36
204,31.622776601683793,142.30249470757707,92,50,male,200,36
213,158.11388300841895,47.43416490252569,101,80,male,200,36
213,158.11388300841895,47.43416490252569,102,80,male,200,36
206,94.86832980505137,15.811388300841896,102,154,female,200,36
206,94.86832980505137,15.811388300841896,103,154,female,200,36
213,158.11388300841895,47.43416490252569,103,80,male,200,36
213,158.11388300841895,47.43416490252569,104,80,male,200,36
206,94.86832980505137,15.811388300841896,104,154,female,200,36
206,94.86832980505137,15.811388300841896,105,154,female,200,36
217,158.11388300841895,173.92527130926086,106,21,male,200,36
217,158.11388300841895,173.92527130926086,107,21,male,200,36
217,158.11388300841895,173.92527130926086,108,21,male,200,36
