trap.id x y usage
2 476602.530218038 5362432.48831974 111111111111111111111111111111
4 477202.056897387 5362470.18462475 111111111111111111111111111111
7 476471.529873919 5362961.01998384 111111111111111111111111111111
8 476782.346132289 5362975.17650893 111111111111111111111111111111
10 477285.369713142 5362948.43702505 111111111111111111100000000000
14 476518.034335826 5363470.29057201 111111111111111111111111111111
15 477134.740574871 5364125.44037109 111111111111111111111111111111
18 477028.598878127 5363489.81195476 111111111111111111111111111111
19 477375.685020501 5363330.94459058 111111111111111111111111111111
22 476814.114593429 5363506.12396866 111111111111111111111111111111
24 476490.965468637 5364078.67318352 111111111111111111111111111111
26 476404.923083611 5364733.61617933 111111111111111111111111111111
28 477091.530154967 5364415.85508972 111111111111111111111111111111
30 476538.905416931 5364936.84530567 111111111111111111111111111111
31 476842.065382193 5364913.98333388 111111111111111111111111111111
33 477358.401460248 5364559.90274461 111111111111111111111111111111
35 477175.323289048 5365017.61175432 111111111111111111111111111111
37 476455.599990809 5363600.33073223 111111111111111111111111111111
39 476695.904894976 5365343.76971608 111111111111111111111111111111
41 477368.26591288 5365177.3955699 111111111111111111111111111111
44 477787.503687463 5365391.67500333 111111111111111111111111111111
47 476712.220235167 5365714.22264252 111111111111111111111111111111
49 477132.729056945 5365459.31971366 111111111111111111111111111111
50 477222.904787807 5365814.03879419 111111111111111111111111111111
51 478124.934502231 5365764.16667616 111111111111111111111111111111
52 476647.483831696 5366156.02615876 111111111111111000000000000000
54 476878.346618573 5366553.38811311 111111111111111111111111111111
55 477528.34884438 5366377.86149744 111111111111111111111111111111
57 477830.371239357 5366083.34198717 111111111111111111111111111111
58 476318.584493124 5367080.60827221 111111111111111111111111111111
60 476494.028348267 5366598.19850547 000000000000000000000000000000
64 477035.202986701 5366941.79662331 111111111111111111111111111111
