"session","WHID_all","date","SiteID"
"Oakbay2022","['20-0686']",2022-09-11,"Site02a"
"Oakbay2022","['20-0687r']",2022-09-12,"Site02a"
"Oakbay2022","['20-0687r']",2022-09-15,"Site02a"
"Oakbay2022","['18-12480']",2022-09-16,"Site02a"
"Oakbay2022","['20-0686']",2022-09-16,"Site02a"
"Oakbay2022","['20-0687r']",2022-09-16,"Site02a"
"Oakbay2022","['20-0687r']",2022-09-16,"Site02a"
"Oakbay2022","['20-0686']",2022-09-19,"Site02a"
"Oakbay2022","['20-0687r']",2022-09-19,"Site02a"
"Oakbay2022","['20-0687r']",2022-09-19,"Site02a"
"Oakbay2022","['20-0687r']",2022-09-19,"Site02a"
"Oakbay2022","['20-0687r']",2022-09-21,"Site02a"
"Oakbay2022","['18-12480']",2022-09-23,"Site02a"
"Oakbay2022","['20-0130']",2022-09-27,"Site02a"
"Oakbay2022","['20-0691']",2022-09-29,"Site02a"
"Oakbay2022","['20-0130']",2022-09-13,"Site03a"
"Oakbay2022","['20-0130']",2022-09-17,"Site03a"
"Oakbay2022","['20-0130']",2022-09-17,"Site03a"
"Oakbay2022","['20-0702']",2022-09-28,"Site03a"
"Oakbay2022","['20-0717']",2022-09-06,"Site05"
"Oakbay2022","['20-0702']",2022-09-08,"Site07a"
"Oakbay2022","['20-0702']",2022-09-10,"Site07a"
"Oakbay2022","['20-0702']",2022-09-15,"Site07a"
"Oakbay2022","['19-0708']",2022-09-01,"Site09"
"Oakbay2022","['19-0708']",2022-09-09,"Site09"
"Oakbay2022","['20-0716']",2022-09-23,"Site09"
"Oakbay2022","['20-0716']",2022-09-23,"Site09"
"Oakbay2022","['20-0716']",2022-09-24,"Site09"
"Oakbay2022","['19-0701']",2022-09-02,"Site10b"
"Oakbay2022","['19-0701']",2022-09-02,"Site10b"
"Oakbay2022","['19-0701']",2022-09-02,"Site10b"
"Oakbay2022","['19-0699']",2022-09-04,"Site10b"
"Oakbay2022","['19-0699']",2022-09-05,"Site10b"
"Oakbay2022","['19-0698']",2022-09-07,"Site10b"
"Oakbay2022","['19-0699']",2022-09-08,"Site10b"
"Oakbay2022","['19-0698']",2022-09-09,"Site10b"
"Oakbay2022","['19-0698']",2022-09-09,"Site10b"
"Oakbay2022","['19-0699']",2022-09-10,"Site10b"
"Oakbay2022","['19-0698']",2022-09-13,"Site10b"
"Oakbay2022","['19-0698']",2022-09-13,"Site10b"
"Oakbay2022","['19-0698']",2022-09-13,"Site10b"
"Oakbay2022","['19-0699']",2022-09-15,"Site10b"
"Oakbay2022","['19-0699']",2022-09-15,"Site10b"
"Oakbay2022","['19-0699']",2022-09-17,"Site10b"
"Oakbay2022","['19-0699']",2022-09-17,"Site10b"
"Oakbay2022","['19-0698']",2022-09-19,"Site10b"
"Oakbay2022","['19-0698']",2022-09-19,"Site10b"
"Oakbay2022","['19-0699']",2022-09-19,"Site10b"
"Oakbay2022","['19-0698']",2022-09-20,"Site10b"
"Oakbay2022","['19-0699']",2022-09-20,"Site10b"
"Oakbay2022","['19-0701']",2022-09-20,"Site10b"
"Oakbay2022","['19-0698']",2022-09-21,"Site10b"
"Oakbay2022","['19-0699']",2022-09-22,"Site10b"
"Oakbay2022","['19-0698']",2022-09-23,"Site10b"
"Oakbay2022","['19-0699']",2022-09-25,"Site10b"
"Oakbay2022","['20-0715']",2022-09-26,"Site10b"
"Oakbay2022","['19-0699']",2022-09-27,"Site10b"
"Oakbay2022","['19-0699']",2022-09-29,"Site10b"
"Oakbay2022","['19-0706']",2022-09-10,"Site11"
"Oakbay2022","['19-0699']",2022-09-13,"Site11"
"Oakbay2022","['19-0706']",2022-09-15,"Site11"
"Oakbay2022","['20-0715']",2022-09-17,"Site11"
"Oakbay2022","['20-0674']",2022-09-19,"Site11"
"Oakbay2022","['19-0699']",2022-09-27,"Site11"
"Oakbay2022","['19-0708']",2022-09-06,"Site13"
"Oakbay2022","['19-0708']",2022-09-10,"Site13"
"Oakbay2022","['19-0708']",2022-09-13,"Site13"
"Oakbay2022","['19-0708']",2022-09-17,"Site13"
"Oakbay2022","['19-0708']",2022-09-18,"Site13"
"Oakbay2022","['19-0708']",2022-09-20,"Site13"
"Oakbay2022","['19-0708']",2022-09-24,"Site13"
"Oakbay2022","['20-0716']",2022-09-09,"Site14a"
"Oakbay2022","['20-0716']",2022-09-12,"Site14a"
"Oakbay2022","['20-0716']",2022-09-22,"Site14a"
"Oakbay2022","['20-0716']",2022-09-28,"Site14a"
"Oakbay2022","['20-0685']",2022-09-01,"Site17"
"Oakbay2022","['19-0736']",2022-09-02,"Site17"
"Oakbay2022","['20-0684']",2022-09-23,"Site21a"
"Oakbay2022","['19-0719']",2022-09-06,"Site22a"
"Oakbay2022","['19-0719']",2022-09-07,"Site22a"
"Oakbay2022","['19-0719']",2022-09-16,"Site22a"
"Oakbay2022","['20-0684']",2022-09-27,"Site22a"
"Oakbay2022","['20-0684']",2022-09-27,"Site22a"
"Oakbay2022","['20-0684']",2022-09-28,"Site22a"
"Oakbay2022","['20-0684']",2022-09-28,"Site22a"
"Oakbay2022","['20-0706']",2022-09-01,"Site24a"
"Oakbay2022","['20-0706']",2022-09-03,"Site24a"
"Oakbay2022","['20-0706']",2022-09-03,"Site24a"
"Oakbay2022","['20-0706']",2022-09-03,"Site24a"
"Oakbay2022","['20-0725']",2022-09-03,"Site24a"
"Oakbay2022","['18-11558']",2022-09-16,"Site24a"
"Oakbay2022","['20-0121']",2022-09-22,"Site24a"
"Oakbay2022","['20-0684']",2022-09-06,"Site25"
"Oakbay2022","['20-0684']",2022-09-06,"Site25"
"Oakbay2022","['19-0682']",2022-09-29,"Site25"
"Oakbay2022","['18-12480']",2022-09-04,"Site27a"
"Oakbay2022","['18-12480']",2022-09-10,"Site27a"
"Oakbay2022","['18-12480']",2022-09-26,"Site27a"
"Oakbay2022","['18-12480']",2022-09-29,"Site27a"
"Oakbay2022","['19-0682']",2022-09-01,"Site28"
"Oakbay2022","['19-0682']",2022-09-01,"Site28"
"Oakbay2022","['20-0670']",2022-09-01,"Site28"
"Oakbay2022","['20-0670']",2022-09-01,"Site28"
"Oakbay2022","['19-0682']",2022-09-02,"Site28"
"Oakbay2022","['19-0682']",2022-09-02,"Site28"
"Oakbay2022","['19-0682']",2022-09-02,"Site28"
"Oakbay2022","['20-0670']",2022-09-02,"Site28"
"Oakbay2022","['20-0725']",2022-09-02,"Site28"
"Oakbay2022","['19-0682']",2022-09-06,"Site29"
"Oakbay2022","['20-0138']",2022-09-14,"Site29"
"Oakbay2022","['20-0725']",2022-09-16,"Site29"
"Oakbay2022","['19-0682']",2022-09-17,"Site29"
"Oakbay2022","['20-0678']",2022-09-01,"Site32"
"Oakbay2022","['20-0678']",2022-09-02,"Site32"
"Oakbay2022","['19-0693']",2022-09-04,"Site32"
"Oakbay2022","['19-0691']",2022-09-12,"Site32"
"Oakbay2022","['20-0678']",2022-09-12,"Site32"
"Oakbay2022","['19-0691']",2022-09-17,"Site32"
"Oakbay2022","['20-0678']",2022-09-20,"Site32"
"Oakbay2022","['19-0687']",2022-09-04,"Site33a"
"Oakbay2022","['19-0687']",2022-09-07,"Site33a"
"Oakbay2022","['19-0682']",2022-09-08,"Site33a"
"Oakbay2022","['19-0694']",2022-09-10,"Site33a"
"Oakbay2022","['20-0668r']",2022-09-13,"Site33a"
"Oakbay2022","['19-0687']",2022-09-16,"Site33a"
"Oakbay2022","['19-0687']",2022-09-17,"Site33a"
"Oakbay2022","['20-0672']",2022-09-17,"Site33a"
"Oakbay2022","['19-0694']",2022-09-18,"Site33a"
"Oakbay2022","['20-0668r']",2022-09-24,"Site33a"
