"session","WHID_all","date","SiteID"
"Oakbay2019","['19-0713']",2019-10-25,"Site03"
"Oakbay2019","['19-0713']",2019-10-28,"Site03"
"Oakbay2019","['20-0122']",2019-10-25,"Site05"
"Oakbay2019","['19-0734']",2019-11-04,"Site06"
"Oakbay2019","['19-0693']",2019-10-08,"Site07"
"Oakbay2019","['19-0722']",2019-10-08,"Site07"
"Oakbay2019","['19-0722']",2019-10-08,"Site07"
"Oakbay2019","['19-0724']",2019-10-08,"Site07"
"Oakbay2019","['19-0724']",2019-10-08,"Site07"
"Oakbay2019","['19-0722']",2019-10-09,"Site07"
"Oakbay2019","['19-0724']",2019-10-10,"Site07"
"Oakbay2019","['19-0724']",2019-10-11,"Site07"
"Oakbay2019","['19-0722']",2019-10-12,"Site07"
"Oakbay2019","['19-0724']",2019-10-12,"Site07"
"Oakbay2019","['19-0722']",2019-10-14,"Site07"
"Oakbay2019","['19-0722']",2019-10-16,"Site07"
"Oakbay2019","['19-0724']",2019-10-16,"Site07"
"Oakbay2019","['19-0724']",2019-10-16,"Site07"
"Oakbay2019","['19-0724']",2019-10-16,"Site07"
"Oakbay2019","['19-0724']",2019-10-17,"Site07"
"Oakbay2019","['19-0722']",2019-10-18,"Site07"
"Oakbay2019","['19-0722']",2019-10-18,"Site07"
"Oakbay2019","['19-0722']",2019-10-18,"Site07"
"Oakbay2019","['19-0724']",2019-10-20,"Site07"
"Oakbay2019","['19-0722']",2019-10-22,"Site07"
"Oakbay2019","['19-0724']",2019-10-25,"Site07"
"Oakbay2019","['19-0706']",2019-10-24,"Site09"
"Oakbay2019","['19-0704']",2019-10-09,"Site10"
"Oakbay2019","['19-0704']",2019-10-09,"Site10"
"Oakbay2019","['19-0704']",2019-10-10,"Site10"
"Oakbay2019","['19-0704']",2019-10-10,"Site10"
"Oakbay2019","['19-0699']",2019-10-16,"Site11"
"Oakbay2019","['19-0706']",2019-10-30,"Site11"
"Oakbay2019","['19-0709']",2019-10-31,"Site11"
"Oakbay2019","['19-0706']",2019-11-01,"Site11"
"Oakbay2019","['19-0706']",2019-11-02,"Site11"
"Oakbay2019","['19-0701']",2019-10-09,"Site12"
"Oakbay2019","['19-0707']",2019-10-19,"Site12"
"Oakbay2019","['19-0707']",2019-10-27,"Site12"
"Oakbay2019","['19-0707']",2019-10-29,"Site12"
"Oakbay2019","['19-0707']",2019-10-29,"Site12"
"Oakbay2019","['19-0706']",2019-10-12,"Site14"
"Oakbay2019","['19-0706']",2019-10-17,"Site14"
"Oakbay2019","['19-0706']",2019-10-18,"Site14"
"Oakbay2019","['19-0706']",2019-10-18,"Site14"
"Oakbay2019","['19-0706']",2019-10-18,"Site14"
"Oakbay2019","['19-0699']",2019-10-22,"Site14"
"Oakbay2019","['19-0706']",2019-10-26,"Site14"
"Oakbay2019","['19-0706']",2019-10-27,"Site14"
"Oakbay2019","['19-0706']",2019-10-27,"Site14"
"Oakbay2019","['19-0706']",2019-11-05,"Site14"
"Oakbay2019","['19-0736']",2019-10-30,"Site16"
"Oakbay2019","['19-0704']",2019-10-10,"Site18"
"Oakbay2019","['19-0704']",2019-10-11,"Site18"
"Oakbay2019","['19-0704']",2019-11-04,"Site18"
"Oakbay2019","['19-0719']",2019-10-13,"Site20"
"Oakbay2019","['19-0719']",2019-10-20,"Site20"
"Oakbay2019","['19-0719']",2019-10-09,"Site22"
"Oakbay2019","['19-0719']",2019-11-05,"Site22"
